method,metric,n,delta_vs_loss4,p,p_holm_5metrics
gradnov4,mean_test,20,0.022495786240324382,0.004275247134505983,0.017100988538023932
gradnov4,sd_test,20,0.00032771953130742023,0.9111666530852263,1.0
gradnov4,p10_test,20,0.018179769217967996,0.03677114010798996,0.11031342032396987
gradnov4,min_test,20,0.025730334967374802,0.001145359249035158,0.00572679624517579
gradnov4,clean_test,20,-0.006966291368007674,0.6697981504424098,1.0
rng12_gradnov4,mean_test,20,0.018591292118653666,0.011793602708128341,0.058968013540641705
rng12_gradnov4,sd_test,20,0.0036048913437878327,0.3110008148454858,0.903410315557315
rng12_gradnov4,p10_test,20,0.010853928029537213,0.18062896275066526,0.722515851002661
rng12_gradnov4,min_test,20,0.009213481098413464,0.3011367718524383,0.903410315557315
rng12_gradnov4,clean_test,20,0.0008988738059997504,0.9560296493396617,0.9560296493396617
paramnov4,mean_test,20,0.017695223286747932,0.002197923248670761,0.010989616243353805
paramnov4,sd_test,20,0.0019227224657646083,0.5272765531661257,1.0
paramnov4,p10_test,20,0.012011236846446998,0.07778511147980555,0.23335533443941665
paramnov4,min_test,20,0.020112361013889313,0.007542433784064846,0.030169735136259385
paramnov4,clean_test,20,0.004494382441043854,0.7450133048343339,1.0
